YEAR_x,TEAM_x,SEED_x,SCORE_x,gameID,TEAMORIGINAL_x,Closest Match_x,afterWin_winLoss_Win_percent_x_x,afterWin_winLoss_MOV_x_x,afterWin_winLoss_ATS_x_x,asUnderdog_winLoss_Win_percent_x_x,asUnderdog_winLoss_MOV_x_x,asUnderdog_winLoss_ATS_x_x,away_winLoss_Win_percent_x_x,away_winLoss_MOV_x_x,away_winLoss_ATS_x_x,neutralSite_winLoss_Win_percent_x_x,neutralSite_winLoss_MOV_x_x,neutralSite_winLoss_ATS_x_x,overallWinPercentage_Win_percent_x_x,overallWinPercentage_MOV_x_x,overallWinPercentage_ATS_x_x,Team Original_x_x,Team_x_x,Team Original_y_x,Team_y_x,RSCI Top 100_x,TEAM_lower_x,Team_x,year_x,upperclassmen_x,SRS_x,SOS_x,Tm_x,Opp_x,MP_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,ORB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,Year_x,YEAR_y,TEAM_y,SEED_y,SCORE_y,TEAMORIGINAL_y,Closest Match_y,afterWin_winLoss_Win_percent_x_y,afterWin_winLoss_MOV_x_y,afterWin_winLoss_ATS_x_y,asUnderdog_winLoss_Win_percent_x_y,asUnderdog_winLoss_MOV_x_y,asUnderdog_winLoss_ATS_x_y,away_winLoss_Win_percent_x_y,away_winLoss_MOV_x_y,away_winLoss_ATS_x_y,neutralSite_winLoss_Win_percent_x_y,neutralSite_winLoss_MOV_x_y,neutralSite_winLoss_ATS_x_y,overallWinPercentage_Win_percent_x_y,overallWinPercentage_MOV_x_y,overallWinPercentage_ATS_x_y,Team Original_x_y,Team_x_y,Team Original_y_y,Team_y_y,RSCI Top 100_y,TEAM_lower_y,Team_y,year_y,upperclassmen_y,SRS_y,SOS_y,Tm_y,Opp_y,MP_y,FG_y,FGA_y,FG%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,ORB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,Year_y,seedDiff,isUnderdog_x,isUnderdog_y
2022,NCarolina,8,95.0,146,North Carolina,n carolina,73.2%,9.5,0.3,30.1%,-5.8,0.0,58.9%,3.0,0.0,70.2%,7.9,+1.2,72.5%,9.3,0.5,N Carolina,n carolina,N Carolina,,,ncarolina,ncarolina,2022.0,3.0,15.5,8.89,3038.0,2780.0,1575.0,1076.0,2409.0,0.447,328.0,917.0,0.358,558.0,730.0,0.764,447.0,1609.0,582.0,202.0,153.0,455.0,564.0,2022.0,2022,Marquette,9,63.0,Marquette,marquette,62.5%,5.4,0.6,34.9%,-4.9,0.8,44.3%,-1.9,0.8,56.5%,1.5,+0.5,64.2%,5.5,0.4,Marquette,marquette,Marquette,Marquette,4.0,marquette,marquette,2022.0,3.0,11.36,8.96,2369.0,2292.0,1290.0,861.0,1915.0,0.45,275.0,800.0,0.344,372.0,502.0,0.741,251.0,1113.0,511.0,249.0,165.0,396.0,556.0,2022.0,1,True,False
2022,St Marys,5,82.0,147,Saint Mary's,st marys,69.0%,8.1,0.4,24.9%,-8.8,-1.3,52.6%,1.1,1.1,52.4%,0.5,-2.1,65.8%,6.7,0.3,St Marys,st marys,St Marys,,,st marys,st marys,2022.0,6.0,14.82,6.58,2370.0,2061.0,1360.0,888.0,1915.0,0.464,246.0,696.0,0.353,348.0,459.0,0.758,293.0,1146.0,458.0,235.0,86.0,382.0,529.0,2022.0,2022,Indiana,12,53.0,Indiana,indiana,60.1%,5.2,-0.5,28.4%,-6.8,-0.2,34.4%,-4.2,-1.2,50.4%,0.4,-1.6,58.9%,4.6,-0.1,Indiana,indiana,Indiana,Indiana,5.0,indiana,indiana,2022.0,5.0,12.71,8.08,2478.0,2316.0,1415.0,903.0,1988.0,0.454,206.0,619.0,0.333,466.0,666.0,0.7,318.0,1264.0,511.0,197.0,169.0,414.0,609.0,2022.0,7,True,False
2022,UCLA,4,57.0,148,UCLA,ucla,69.3%,6.8,0.7,35.8%,-5.2,0.6,51.4%,-0.3,0.6,56.7%,1.8,-1.0,66.6%,5.7,0.2,UCLA,ucla,UCLA,UCLA,7.0,ucla,ucla,2022.0,6.0,19.3,8.36,2639.0,2256.0,1425.0,967.0,2148.0,0.45,237.0,671.0,0.353,468.0,632.0,0.741,394.0,1281.0,486.0,244.0,116.0,313.0,554.0,2022.0,2022,Akron,13,53.0,Akron,akron,63.1%,4.7,0.5,28.2%,-6.2,0.0,44.3%,-1.2,0.0,54.5%,1.1,0.0,63.3%,5.1,0.3,Akron,akron,Akron,Akron,0.0,akron,akron,2022.0,3.0,0.91,-3.93,2402.0,2130.0,1365.0,827.0,1799.0,0.46,265.0,748.0,0.354,483.0,701.0,0.689,334.0,1188.0,396.0,199.0,110.0,388.0,536.0,2022.0,9,True,False
2022,Texas,6,81.0,149,Texas,texas,64.3%,6.5,0.0,32.7%,-4.7,0.8,45.7%,-1.3,-0.4,56.3%,2.2,-0.4,65.3%,6.6,0.0,Texas,texas,Texas,Texas,6.0,texas,texas,2022.0,7.0,17.01,8.87,2339.0,2062.0,1370.0,832.0,1886.0,0.441,225.0,681.0,0.33,450.0,603.0,0.746,353.0,1131.0,450.0,261.0,115.0,393.0,608.0,2022.0,2022,Virginia Tech,11,73.0,Virginia Tech,virgina tech,55.1%,3.4,0.1,25.5%,-7.5,0.2,29.9%,-6.2,-0.8,48.8%,0.3,+0.8,53.0%,2.4,0.1,VA Tech,virgina tech,VA Tech,Virginia Tech,0.0,virginia tech,virginia tech,2022.0,5.0,14.48,6.48,2549.0,2261.0,1445.0,933.0,1981.0,0.471,319.0,814.0,0.392,364.0,485.0,0.751,305.0,1152.0,515.0,192.0,114.0,391.0,535.0,2022.0,5,True,False
2022,Purdue,3,78.0,150,Purdue,purdue,66.4%,6.8,0.0,28.4%,-6.1,-0.1,45.1%,-1.2,-0.5,57.8%,2.6,-0.9,65.5%,6.8,0.4,Purdue,purdue,Purdue,Purdue,3.0,purdue,purdue,2022.0,4.0,19.15,8.23,2936.0,2532.0,1495.0,1026.0,2094.0,0.49,315.0,820.0,0.384,569.0,800.0,0.711,412.0,1431.0,601.0,172.0,128.0,436.0,535.0,2022.0,2022,Yale,14,56.0,Yale,yale,57.5%,2.8,0.9,28.3%,-7.4,1.4,40.7%,-2.8,1.8,57.6%,2.4,+3.5,54.4%,2.2,1.1,Yale,yale,Yale,Yale,0.0,yale,yale,2022.0,5.0,-0.1,-1.34,2226.0,2143.0,1245.0,795.0,1800.0,0.442,212.0,647.0,0.328,424.0,577.0,0.735,278.0,1112.0,371.0,193.0,98.0,398.0,543.0,2022.0,11,True,False
2022,Murray St,7,92.0,151,Murray St.,murray st,69.3%,7.6,0.2,29.1%,-5.1,0.2,56.4%,2.3,0.5,52.9%,1.5,-1.5,69.4%,8.0,0.4,Murray St,murray st,Murray St,Murray St,0.0,murray st,murray st,2022.0,5.0,9.87,-3.07,2690.0,2150.0,1365.0,978.0,2056.0,0.476,272.0,775.0,0.351,462.0,668.0,0.692,424.0,1328.0,501.0,266.0,108.0,389.0,524.0,2022.0,2022,San Francisco,10,87.0,San Francisco,san francisco,53.8%,2.3,0.3,24.7%,-8.0,0.2,39.5%,-4.1,0.7,44.6%,0.9,+1.0,53.0%,1.7,0.1,San Francisco,san francisco,San Francisco,San Francisco,0.0,san francisco,san francisco,2022.0,7.0,14.12,5.24,2630.0,2304.0,1365.0,944.0,2064.0,0.457,327.0,934.0,0.35,415.0,598.0,0.694,361.0,1287.0,443.0,261.0,158.0,434.0,615.0,2022.0,3,True,False
2022,Kentucky,2,79.0,152,Kentucky,kentucky,76.1%,10.0,0.4,40.0%,-2.4,2.0,60.6%,3.6,1.0,69.2%,7.0,+0.4,75.5%,10.1,0.4,Kentucky,kentucky,Kentucky,Kentucky,9.0,kentucky,kentucky,2022.0,6.0,20.9,8.02,2701.0,2263.0,1370.0,1030.0,2133.0,0.483,207.0,596.0,0.347,434.0,598.0,0.726,441.0,1365.0,549.0,231.0,144.0,394.0,487.0,2022.0,2022,St Peters,15,85.0,Saint Peter's,st peters,46.5%,-1.0,1.1,27.7%,-7.0,0.8,32.1%,-5.7,1.3,47.9%,-1.0,+1.7,41.8%,-2.5,0.5,St Peters,st peters,St Peters,,,st peters,,,,,,,,,,,,,,,,,,,,,,,,,,13,True,False
2022,Arizona,1,87.0,153,Arizona,arizona,74.2%,9.4,0.2,41.3%,-3.1,1.3,59.3%,3.8,0.6,66.9%,5.3,-0.2,73.9%,9.5,0.5,Arizona,arizona,Arizona,Arizona,5.0,arizona,arizona,2022.0,1.0,22.75,6.84,3107.0,2518.0,1490.0,1117.0,2269.0,0.492,287.0,815.0,0.352,586.0,793.0,0.739,429.0,1531.0,726.0,249.0,210.0,497.0,619.0,2022.0,2022,Wright St,16,70.0,Wright St.,wright st,58.0%,2.7,0.2,31.7%,-6.5,0.5,38.7%,-3.9,-0.3,50.8%,1.1,+0.8,56.4%,2.4,0.3,Wright St,wright st,Wright St,Wright St,0.0,wright st,wright st,2022.0,4.0,-1.94,-5.11,2729.0,2585.0,1440.0,987.0,2140.0,0.461,233.0,700.0,0.333,522.0,680.0,0.768,377.0,1255.0,506.0,212.0,107.0,440.0,523.0,2022.0,15,True,False
2022,Houston,5,82.0,155,Houston,houston,65.8%,6.7,1.2,25.8%,-7.7,0.6,39.8%,-3.1,0.2,61.2%,4.1,+0.6,59.9%,4.7,1.1,Houston,houston,Houston,Houston,1.0,houston,houston,2022.0,5.0,22.55,6.47,2844.0,2233.0,1535.0,1054.0,2267.0,0.465,298.0,881.0,0.338,438.0,657.0,0.667,506.0,1482.0,617.0,305.0,196.0,423.0,652.0,2022.0,2022,UAB,12,68.0,UAB,uab,61.1%,4.0,0.0,34.8%,-4.8,1.4,48.5%,-1.4,0.3,45.3%,-1.6,-0.7,62.6%,4.7,0.4,UAB,uab,UAB,UAB,0.0,uab,uab,2022.0,7.0,10.9,-0.14,2811.0,2336.0,1415.0,1035.0,2212.0,0.468,276.0,734.0,0.376,465.0,629.0,0.739,424.0,1339.0,453.0,334.0,146.0,402.0,579.0,2022.0,7,True,False
2022,Illinois,4,54.0,156,Illinois,illinois,66.0%,6.9,0.5,27.8%,-5.2,0.6,44.6%,-1.0,0.3,59.8%,3.2,-0.4,64.3%,6.3,0.5,Illinois,illinois,Illinois,Illinois,6.0,illinois,illinois,2022.0,5.0,16.69,9.48,2456.0,2218.0,1330.0,863.0,1925.0,0.448,295.0,821.0,0.359,435.0,616.0,0.706,379.0,1271.0,501.0,171.0,99.0,408.0,538.0,2022.0,2022,Chattanooga,13,53.0,Chattanooga,chattanooga,56.6%,2.1,-0.7,29.2%,-7.9,0.1,38.6%,-4.6,0.1,48.1%,-0.7,-1.4,55.0%,2.4,-0.4,Chattanooga,chattanooga,Chattanooga,Chattanooga,0.0,chattanooga,chattanooga,2022.0,6.0,6.12,-0.94,2596.0,2253.0,1410.0,956.0,2059.0,0.464,276.0,800.0,0.345,408.0,547.0,0.746,378.0,1264.0,449.0,252.0,75.0,384.0,547.0,2022.0,9,True,False
2022,Colorado St,6,63.0,157,Colorado St.,colorado st,59.2%,3.6,0.8,22.8%,-7.4,-0.5,34.7%,-4.7,-0.3,55.1%,2.1,+1.6,55.3%,2.7,0.2,Colorado St,colorado st,Colorado St,Colorado St,0.0,colorado st,colorado st,2022.0,6.0,11.51,4.77,2275.0,2047.0,1250.0,821.0,1710.0,0.48,241.0,675.0,0.357,392.0,507.0,0.773,208.0,982.0,442.0,198.0,95.0,313.0,466.0,2022.0,2022,Michigan,11,75.0,Michigan,michigan,60.7%,4.2,0.4,30.8%,-6.2,0.6,36.1%,-5.0,-0.7,59.0%,4.0,+2.8,59.4%,3.9,0.5,Michigan,michigan,Michigan,Michigan,8.0,michigan,michigan,2022.0,3.0,14.26,11.02,2470.0,2360.0,1360.0,914.0,1957.0,0.467,213.0,628.0,0.339,429.0,575.0,0.746,337.0,1215.0,481.0,160.0,112.0,396.0,516.0,2022.0,5,True,False
2022,Tennessee,3,88.0,158,Tennessee,tennessee,63.9%,6.2,0.4,37.2%,-3.7,1.9,45.9%,-1.0,0.1,55.0%,2.0,-1.2,64.8%,6.1,0.4,Tennessee,tennessee,Tennessee,Tennessee,5.0,tennessee,tennessee,2022.0,5.0,20.46,9.94,2571.0,2203.0,1410.0,915.0,2107.0,0.434,305.0,848.0,0.36,436.0,610.0,0.715,409.0,1290.0,576.0,326.0,150.0,429.0,592.0,2022.0,2022,Longwood,14,56.0,Longwood,longwood,48.3%,-0.8,1.6,26.1%,-7.4,2.3,19.9%,-12.8,0.1,35.3%,-4.4,+3.3,37.6%,-4.6,1.2,Longwood,longwood,Longwood,Longwood,0.0,longwood,longwood,2022.0,4.0,-0.35,-6.11,2499.0,2170.0,1330.0,873.0,1932.0,0.452,269.0,712.0,0.378,484.0,667.0,0.726,392.0,1217.0,464.0,257.0,79.0,399.0,507.0,2022.0,11,True,False
2022,Ohio St,7,54.0,159,Ohio St.,ohio st,69.5%,8.2,0.9,32.8%,-5.2,0.6,45.1%,-1.8,-0.2,63.3%,3.8,+1.2,67.3%,7.3,0.6,Ohio St,ohio st,Ohio St,Ohio St,2.0,ohio st,ohio st,2022.0,5.0,14.17,9.08,2329.0,2166.0,1290.0,819.0,1740.0,0.471,251.0,688.0,0.365,440.0,581.0,0.757,288.0,1107.0,400.0,144.0,152.0,358.0,525.0,2022.0,2022,Loyola Chicago,10,41.0,Loyola Chicago,loyola chicago,56.2%,2.5,0.0,27.3%,-6.9,0.3,34.9%,-5.2,-0.3,53.6%,1.8,+1.3,52.3%,1.2,0.0,Loyola-Chi,loyola chicago,Loyola-Chi,,,loyola chicago,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,False
2022,Villanova,2,80.0,160,Villanova,villanova,70.7%,7.5,0.9,32.5%,-3.8,1.4,53.3%,1.4,0.0,68.7%,6.8,+1.3,68.8%,7.0,0.6,Villanova,villanova,Villanova,Villanova,6.0,villanova,villanova,2022.0,7.0,19.31,10.29,2726.0,2383.0,1525.0,922.0,2133.0,0.432,355.0,988.0,0.359,527.0,635.0,0.83,392.0,1322.0,451.0,229.0,83.0,376.0,566.0,2022.0,2022,Delaware,15,60.0,Delaware,delaware,54.3%,0.2,-1.7,26.4%,-7.8,-0.2,37.8%,-4.5,-0.5,50.6%,-1.3,+0.9,49.9%,-0.7,-0.7,Delaware,delaware,Delaware,Delaware,0.0,delaware,delaware,2022.0,5.0,0.32,-1.82,2568.0,2456.0,1410.0,909.0,1940.0,0.469,261.0,752.0,0.347,489.0,657.0,0.744,298.0,1138.0,440.0,233.0,129.0,440.0,547.0,2022.0,13,True,False
2022,Kansas,1,83.0,161,Kansas,kansas,79.6%,11.4,0.4,42.7%,-3.8,-0.2,65.6%,4.3,-0.3,74.9%,9.2,+0.8,80.7%,11.8,0.7,Kansas,kansas,Kansas,Kansas,6.0,kansas,kansas,2022.0,6.0,22.28,11.3,3129.0,2690.0,1615.0,1144.0,2393.0,0.478,286.0,793.0,0.361,555.0,774.0,0.717,438.0,1515.0,613.0,251.0,172.0,484.0,637.0,2022.0,2022,Texas Southern,16,56.0,Texas Southern,texas,64.3%,6.5,0.0,32.7%,-4.7,0.8,45.7%,-1.3,-0.4,56.3%,2.2,-0.4,65.3%,6.6,0.0,Texas,texas,Texas,Texas Southern,0.0,texas southern,texas southern,2022.0,7.0,-3.3,-6.24,2209.0,2115.0,1285.0,803.0,1854.0,0.433,180.0,573.0,0.314,423.0,623.0,0.679,379.0,1261.0,343.0,178.0,165.0,478.0,566.0,2022.0,15,True,False
