Team,Win-Loss Record,Win %,MOV,ATS +/-
St. Thomas,30-12-0,71.4%,13.9,+2.9
TX El Paso,329-132-0,71.4%,8.7,+0.6
Temple,279-112-0,71.4%,6.6,-0.3
Chattanooga,289-116-0,71.4%,9.5,-0.8
Providence,323-130-0,71.3%,7.7,+0.2
Marshall,296-120-0,71.2%,8.3,+0.3
Yale,218-89-0,71.0%,8.4,-0.4
Vanderbilt,334-137-0,70.9%,7.9,-0.1
UCSB,262-108-0,70.8%,8.1,-1.0
Austin Peay,262-108-0,70.8%,8.1,+0.5
Seton Hall,308-127-0,70.8%,7.6,-0.2
Richmond,292-121-0,70.7%,6.9,-0.2
Oakland,245-102-0,70.6%,7.3,-1.3
Fresno St,308-129-0,70.5%,7.9,-0.4
Illinois St,296-124-0,70.5%,6.7,+0.1
S Methodist,304-128-0,70.4%,8.9,0.0
Morehead St,265-112-0,70.3%,9.0,0.0
S Mississippi,280-119-0,70.2%,8.1,+0.5
Jackson St,207-88-0,70.2%,5.9,-1.4
TX-Arlington,260-111-0,70.1%,8.5,-0.2
Bradley,295-126-0,70.1%,7.0,+1.9
South Dakota,145-62-0,70.1%,9.8,+1.3
WI-Grn Bay,278-119-0,70.0%,6.8,+0.3
Hawaii,343-147-0,70.0%,6.6,-0.1
Portland St,254-110-0,69.8%,9.1,-0.4
VA Tech,306-133-0,69.7%,8.7,+0.7
Merrimack,46-20-0,69.7%,6.3,-1.1
Arkansas St,262-115-0,69.5%,8.6,+0.5
Georgia St,266-117-0,69.5%,7.9,0.0
Montana St,256-113-0,69.4%,7.6,-0.8
Southern,233-103-0,69.4%,8.6,+3.4
S Alabama,285-126-0,69.3%,7.1,-0.2
NC-Wilmgton,243-108-0,69.2%,7.0,+0.3
USC,299-134-0,69.1%,7.0,-0.3
Lipscomb,222-100-0,68.9%,8.0,-0.2
Nebraska,313-141-0,68.9%,7.7,+0.8
Furman,261-118-0,68.9%,9.3,+0.6
Liberty,284-129-0,68.8%,9.2,-0.1
GA Southern,246-112-0,68.7%,8.8,+0.4
Cal Baptist,72-33-0,68.6%,12.2,0.0
App State,258-119-0,68.4%,9.3,-0.1
IPFW,210-97-0,68.4%,9.6,+0.1
California,318-147-0,68.4%,6.3,-0.2
Radford,248-115-0,68.3%,6.9,-2.8
W Michigan,258-120-0,68.3%,6.4,+0.2
Arizona St,309-144-0,68.2%,7.6,-0.2
Charlotte,262-123-0,68.1%,6.2,+0.5
TX A&M-CC,232-109-0,68.0%,8.6,+0.2
Fla Gulf Cst,180-85-0,67.9%,7.3,-0.1
Georgia,304-144-0,67.9%,5.5,0.0
High Point,247-117-0,67.9%,8.5,-0.2
TN Tech,259-123-0,67.8%,8.4,-0.2
Indiana St,261-124-0,67.8%,5.4,+1.0
Loyola-Chi,272-130-0,67.7%,6.8,0.0
Geo Wshgtn,267-128-0,67.6%,6.3,+0.2
Georgetown,300-144-0,67.6%,8.6,-1.6
Harvard,225-108-0,67.6%,6.1,-1.0
Drake,271-131-0,67.4%,7.2,+1.0
E Kentucky,255-124-0,67.3%,8.3,-1.1
Gard-Webb,195-95-0,67.2%,8.4,-0.7
Lg Beach St,238-116-0,67.2%,5.8,-0.1
Samford,247-121-0,67.1%,7.5,-0.1
Siena,266-131-0,67.0%,4.1,-0.2
GA Tech,298-148-0,66.8%,7.1,-0.3
Seattle,157-78-0,66.8%,7.2,+0.4
Drexel,231-115-0,66.8%,6.2,0.0
TX Christian,307-153-0,66.7%,7.5,-0.3
S Carolina,295-147-0,66.7%,6.5,-1.0
Coastal Car,282-141-0,66.7%,9.2,+0.3
Miami (OH),256-128-0,66.7%,5.6,-0.4
St Bonavent,247-124-0,66.6%,5.2,-0.2
St Johns,304-153-0,66.5%,5.8,-0.5
North Texas,266-134-0,66.5%,7.3,-0.2
AR Lit Rock,259-131-0,66.4%,6.4,+0.2
SE Louisiana,231-117-0,66.4%,7.2,-0.6
Bowling Grn,262-133-0,66.3%,5.6,-0.9
San Francisco,271-138-0,66.3%,6.7,-0.6
McNeese St,239-122-0,66.2%,8.2,-1.9
U Mass,260-133-0,66.2%,4.7,-0.7
St Josephs,238-122-0,66.1%,5.1,-0.4
Detroit,248-128-0,66.0%,7.0,+0.1
Mercer,248-128-0,66.0%,7.2,+0.2
Alabama St,211-109-0,65.9%,4.8,-0.7
Nicholls,216-112-0,65.9%,7.2,+0.5
Rider,228-119-0,65.7%,4.3,-1.2
N Colorado,180-94-0,65.7%,7.2,-1.5
New Orleans,224-117-0,65.7%,6.9,-0.3
Wagner,237-124-0,65.7%,5.8,-0.7
Pacific,256-134-0,65.6%,6.1,-0.4
N Alabama,51-27-0,65.4%,10.1,+0.2
Lamar,247-132-0,65.2%,8.9,+0.5
Ball St,260-140-0,65.0%,6.4,-1.0
Buffalo,241-130-0,65.0%,6.4,+0.6
Alcorn St,194-105-0,64.9%,6.0,+0.6
Rhode Island,260-143-0,64.5%,4.6,-1.4
Hampton,216-119-0,64.5%,5.2,+0.2
Colgate,232-128-0,64.4%,6.7,+2.3
WI-Milwkee,246-136-0,64.4%,5.4,-0.5
NW State,228-127-0,64.2%,5.9,+0.7
UCSD,34-19-0,64.2%,7.1,+0.6
Jacksonville,230-129-0,64.1%,6.0,+1.0
Lehigh,233-131-0,64.0%,5.5,-1.4
Rob Morris,236-133-0,64.0%,5.2,-0.9
Cleveland St,257-145-0,63.9%,5.6,-0.3
Penn St,278-157-0,63.9%,5.1,+0.5
Troy,230-130-0,63.9%,6.7,-0.3
S Car State,203-115-0,63.8%,4.7,+1.8
Boston U,233-132-0,63.8%,5.1,-2.8
N Florida,159-91-0,63.6%,6.2,+3.2
U Penn,228-131-0,63.5%,5.1,-0.6
Stony Brook,216-125-0,63.3%,5.4,-0.6
Santa Clara,273-158-0,63.3%,4.6,-1.1
NC-Grnsboro,237-138-0,63.2%,6.0,-0.1
W Carolina,223-130-0,63.2%,7.2,-0.1
Texas St,238-139-0,63.1%,7.3,-1.7
Prairie View,193-113-0,63.1%,5.2,+0.8
Denver,227-133-0,63.1%,5.1,+0.9
N Arizona,220-129-0,63.0%,6.8,-0.9
Neb Omaha,102-60-0,63.0%,5.3,-0.3
Evansville,261-154-0,62.9%,4.5,+0.3
Rutgers,292-173-0,62.8%,5.2,0.0
Delaware,229-137-0,62.6%,3.5,-1.3
Northwestern,282-171-0,62.3%,5.4,-0.4
Boston Col,275-168-0,62.1%,3.9,-1.4
Northeastrn,203-125-0,61.9%,4.3,-1.1
E Michigan,245-151-0,61.9%,4.9,-0.4
Niagara,218-135-0,61.8%,3.4,-0.3
Mass Lowell,92-57-0,61.7%,6.6,-0.7
Jksnville St,219-136-0,61.7%,5.4,-1.2
Wm & Mary,223-139-0,61.6%,4.8,-0.3
S Utah,221-138-0,61.6%,5.5,-1.4
Morgan St,187-117-0,61.5%,5.3,-0.4
UTSA,237-151-0,61.1%,5.3,+1.3
Air Force,251-160-0,61.1%,4.7,-0.5
CS Bakersfld,138-88-0,61.1%,6.4,-0.1
NC A&T,192-123-0,61.0%,4.8,+0.7
Quinnipiac,220-141-0,60.9%,3.6,-0.5
American,211-137-0,60.6%,3.5,-1.5
North Dakota,122-80-0,60.4%,6.3,-0.7
Wash State,250-164-0,60.4%,4.9,+0.6
CS Fullerton,215-144-0,59.9%,5.1,-1.0
UL Monroe,220-149-0,59.6%,5.3,+0.2
Bellarmine,31-21-0,59.6%,8.8,-3.0
Alab A&M,185-126-0,59.5%,3.9,+2.4
Fla Atlantic,212-145-0,59.4%,4.5,+1.2
Youngs St,229-157-0,59.3%,5.2,-0.3
Oregon St,259-178-0,59.3%,3.7,-0.4
TN State,205-141-0,59.3%,4.0,-0.6
TX-Pan Am,210-145-0,59.2%,5.1,+0.2
Central Mich,221-153-0,59.1%,4.7,-0.6
Albany,194-135-0,59.0%,3.8,-2.1
Manhattan,207-144-0,59.0%,3.4,-0.9
IL-Chicago,231-161-0,58.9%,4.0,+0.1
Beth-Cook,192-135-0,58.7%,4.5,+1.5
Holy Cross,209-147-0,58.7%,3.4,-2.4
Charl South,216-153-0,58.5%,7.4,-1.0
James Mad,224-159-0,58.5%,3.6,-1.8
Elon,200-142-0,58.5%,4.3,-1.0
Tulane,243-173-0,58.4%,3.8,-1.2
Longwood,161-115-0,58.3%,4.7,+2.0
Navy,225-162-0,58.1%,4.1,-0.7
E Carolina,247-178-0,58.1%,3.5,-1.1
Mt St Marys,197-142-0,58.1%,3.3,+0.1
E Illinois,212-153-0,58.1%,3.5,-2.0
Lafayette,213-154-0,58.0%,3.3,-2.8
Cornell,185-134-0,58.0%,4.7,-0.6
San Diego,226-164-0,58.0%,3.7,-0.8
Kansas City,215-156-0,58.0%,4.7,+0.2
LIU,33-24-0,57.9%,4.4,+0.3
Florida A&M,176-128-0,57.9%,1.7,+1.0
Monmouth,205-150-0,57.8%,1.7,-0.1
TN Martin,206-151-0,57.7%,4.4,-1.3
IU Indy,195-143-0,57.7%,4.0,-1.7
Cal St Nrdge,208-153-0,57.6%,4.5,-1.6
La Salle,216-159-0,57.6%,2.4,-0.7
UC Davis,147-110-0,57.2%,3.1,-1.2
Campbell,219-164-0,57.2%,4.1,-0.2
Pepperdine,208-158-0,56.8%,2.2,-1.5
Fairfield,202-155-0,56.6%,2.7,-1.4
Stetson,203-156-0,56.6%,3.5,+0.3
Central Conn,199-155-0,56.2%,2.4,-2.3
Miss Val St,155-121-0,56.2%,2.6,+1.2
Brown,187-147-0,56.0%,2.3,-1.1
VMI,208-164-0,55.9%,6.6,-0.7
Maryland BC,201-160-0,55.7%,2.3,+0.9
Florida Intl,221-176-0,55.7%,3.0,-1.0
S Florida,236-188-0,55.7%,2.2,-1.4
Rice,230-185-0,55.4%,3.6,-0.3
Duquesne,220-177-0,55.4%,2.8,-1.1
Columbia,192-155-0,55.3%,3.7,-1.7
SE Missouri,200-162-0,55.3%,3.4,-1.2
Grambling St,167-136-0,55.1%,2.8,0.0
W Illinois,198-162-0,55.0%,4.1,-0.9
SC Upstate,128-105-0,54.9%,5.1,-0.2
Bryant,117-96-0,54.9%,2.9,-0.2
Incar Word,86-71-0,54.8%,4.1,-2.4
Utah Tech,30-25-0,54.6%,4.8,+0.9
Portland,217-182-0,54.4%,2.4,-1.1
Idaho,206-173-0,54.4%,2.8,-0.8
Delaware St,169-142-0,54.3%,3.7,-0.5
F Dickinson,191-161-0,54.3%,2.0,-0.8
St Fran (PA),194-164-0,54.2%,2.4,-1.2
Canisius,190-161-0,54.1%,1.7,-1.5
UC Riverside,167-142-0,54.1%,3.4,-0.6
Idaho St,184-157-0,54.0%,3.2,-0.6
Towson,192-166-0,53.6%,2.2,-0.1
Coppin St,150-131-0,53.4%,2.1,-1.3
Sac State,192-168-0,53.3%,2.7,-0.6
Hsn Christian,110-97-0,53.1%,4.7,-1.4
N Hampshire,187-166-0,53.0%,2.6,-0.5
Sacred Hrt,170-152-0,52.8%,1.6,-1.0
NJIT,132-118-0,52.8%,3.8,-2.5
N Illinois,195-176-0,52.6%,2.4,-0.8
Marist,188-171-0,52.4%,0.7,-0.5
TX A&M-Com,13-12-0,52.0%,8.3,-2.8
St Peters,180-167-0,51.9%,1.0,-0.8
DePaul,226-210-0,51.8%,1.4,-1.3
Presbyterian,114-106-0,51.8%,4.5,+0.2
Maine,166-155-0,51.7%,3.4,-0.2
Cal Poly,184-173-0,51.5%,2.2,-1.3
Loyola-MD,179-169-0,51.4%,0.1,-1.7
Loyola Mymt,191-188-0,50.4%,0.4,-1.5
Fordham,195-194-0,50.1%,0.1,-0.8
Army,186-186-0,50.0%,1.0,-2.0
S Indiana,15-15-0,50.0%,5.9,-1.9
Lindenwood,14-14-0,50.0%,5.4,-1.6
Stonehill,12-12-0,50.0%,1.0,-1.9
Citadel,190-199-0,48.8%,3.1,-1.4
Kennesaw St,125-134-0,48.3%,1.0,-0.3
Central Ark,114-123-0,48.1%,2.5,-0.3
SIU Edward,96-104-0,48.0%,1.2,-0.2
Ark Pine Bl,128-139-0,47.9%,0.8,+0.4
Maryland ES,137-153-0,47.2%,0.1,-0.3
Howard,150-168-0,47.2%,1.0,+0.2
Binghamton,142-168-0,45.8%,0.3,-0.9
Dartmouth,150-179-0,45.6%,0.5,-1.2
Chicago St,128-162-0,44.1%,-1.1,-1.6
San Jose St,166-211-0,44.0%,-1.0,-1.2
